"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"dnpm-lm-care-plan","dnpm-lm-care-plan.reason","dnpm-lm-care-plan.reason","","","",0,1,"","","","BackboneElement {[]} {[]}
","Indication (MTBDiagnosis) reference","Indication (MTBDiagnosis) reference","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.reason.id","dnpm-lm-care-plan.reason.id","","","",1,1,"","","","string {[]} {[]}
","Diagnosis ID","Diagnosis ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.reason.extension","dnpm-lm-care-plan.reason.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.reason.modifierExtension","dnpm-lm-care-plan.reason.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.reason.type","dnpm-lm-care-plan.reason.type","","","",1,1,"","","","string {[]} {[]}
","Reference type (MTBDiagnosis)","Reference type (MTBDiagnosis)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.reason.type",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.noTargetFinding","dnpm-lm-care-plan.noTargetFinding","","","",0,1,"","","","boolean {[]} {[]}
","True when no actionable target was identified","True when no actionable target was identified","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.noTargetFinding",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation","dnpm-lm-care-plan.geneticCounselingRecommendation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Genetic counselling recommendation","Genetic counselling recommendation","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.id","dnpm-lm-care-plan.geneticCounselingRecommendation.id","","","",1,1,"","","","string {[]} {[]}
","Recommendation UUID","Recommendation UUID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.extension","dnpm-lm-care-plan.geneticCounselingRecommendation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.modifierExtension","dnpm-lm-care-plan.geneticCounselingRecommendation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.patient","dnpm-lm-care-plan.geneticCounselingRecommendation.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patient reference","Patient reference","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.id","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.id","","","",1,1,"","","","string {[]} {[]}
","Patient ID","Patient ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.extension","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.modifierExtension","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.type","dnpm-lm-care-plan.geneticCounselingRecommendation.patient.type","","","",1,1,"","","","string {[]} {[]}
","Reference type (Patient)","Reference type (Patient)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.patient.type",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.issuedOn","dnpm-lm-care-plan.geneticCounselingRecommendation.issuedOn","","","",1,1,"","","","string {[]} {[]}
","Recommendation date (YYYY-MM-DD)","Recommendation date (YYYY-MM-DD)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.issuedOn",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason","dnpm-lm-care-plan.geneticCounselingRecommendation.reason","","","",0,1,"","","","BackboneElement {[]} {[]}
","Reason for counselling","Reason for counselling","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.id","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.extension","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.modifierExtension","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.code","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.code","","","",1,1,"","","","string {[]} {[]}
","Reason code","Reason code","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.reason.code",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.display","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.display","","","",0,1,"","","","string {[]} {[]}
","Reason display","Reason display","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.reason.display",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.system","dnpm-lm-care-plan.geneticCounselingRecommendation.reason.system","","","",1,1,"","","","string {[]} {[]}
","Reason system URI","Reason system URI","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.geneticCounselingRecommendation.reason.system",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations","dnpm-lm-care-plan.medicationRecommendations","","","",0,*,"","","","BackboneElement {[]} {[]}
","Medication therapy recommendations","Medication therapy recommendations","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.medicationRecommendations",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.id","dnpm-lm-care-plan.medicationRecommendations.id","","","",1,1,"","","","string {[]} {[]}
","Recommendation UUID","Recommendation UUID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.extension","dnpm-lm-care-plan.medicationRecommendations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.modifierExtension","dnpm-lm-care-plan.medicationRecommendations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.patient","dnpm-lm-care-plan.medicationRecommendations.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patient reference","Patient reference","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.medicationRecommendations.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.patient.id","dnpm-lm-care-plan.medicationRecommendations.patient.id","","","",1,1,"","","","string {[]} {[]}
","Patient ID","Patient ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.patient.extension","dnpm-lm-care-plan.medicationRecommendations.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.patient.modifierExtension","dnpm-lm-care-plan.medicationRecommendations.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.patient.type","dnpm-lm-care-plan.medicationRecommendations.patient.type","","","",1,1,"","","","string {[]} {[]}
","Reference type (Patient)","Reference type (Patient)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.medicationRecommendations.patient.type",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.issuedOn","dnpm-lm-care-plan.medicationRecommendations.issuedOn","","","",1,1,"","","","string {[]} {[]}
","Recommendation date (YYYY-MM-DD)","Recommendation date (YYYY-MM-DD)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.medicationRecommendations.issuedOn",1,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.indication","dnpm-lm-care-plan.medicationRecommendations.indication","","","",0,1,"","","","BackboneElement {[]} {[]}
","Indication (MTBDiagnosis) reference","Indication (MTBDiagnosis) reference","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.medicationRecommendations.indication",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.indication.id","dnpm-lm-care-plan.medicationRecommendations.indication.id","","","",1,1,"","","","string {[]} {[]}
","Diagnosis ID","Diagnosis ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan","dnpm-lm-care-plan.medicationRecommendations.indication.extension","dnpm-lm-care-plan.medicationRecommendations.indication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
