# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0; the Markdown report is its rendering.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree, not migrated).
MIIIGModulMTB/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
MIIIGModulMTB/ReleaseNotes.page.md	input/pagecontent/changes.md	semantic home per references/routing-table.tsv	3	semantic match 'releasenotes' -> changes (routing-table)
MIIIGModulMTB/BeschreibungModulModul.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
MIIIGModulMTB/KontextimGesamtprojektBezgezuanderenModulen.page.md	input/pagecontent/guidance.md	module context and relations -> Guidance section	3	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/Referenzen.page.md	input/pagecontent/guidance.md	references list -> Guidance section	3	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/Kommentierungsphase.page.md	RETIRED	page self-declares as commenting-phase-only ("wird in der abschließenden Version ... nicht mehr präsent sein"); ballot 2025.0.0-ballot closed, 2026.0.1 released — Gate B confirms	5	reviewed override
MIIIGModulMTB/AnwendungsflleInformationsmodell/Index.page.md	RETIRED	nav-only container page; source text says "Diese Seite wurde absichtlich leer gelassen"; children routed individually	5	reviewed override
MIIIGModulMTB/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	input/pagecontent/anwendungsszenarien.md	4618-word scenario description exceeds the 2500-word size gate for a merge into guidance.md -> own page under Guidance	4	size gate (spec 9e)
MIIIGModulMTB/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen.page.md	input/pagecontent/logical-models.md	semantic home per references/routing-table.tsv	3	semantic match 'datensaetze' -> logical-models (routing-table)
MIIIGModulMTB/AnwendungsflleInformationsmodell/UML.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match 'uml' -> uml-diagrams (routing-table)
MIIIGModulMTB/TechnischeImplementierung/Index.page.md	RETIRED	nav-only container; source text: "Diese Seite wurde absichtlich leer gelassen"	5	reviewed override
MIIIGModulMTB/TechnischeImplementierung/Profile-Inhalt-und-Vererbung.page.md	input/pagecontent/implementer-guidance.md	profile content/inheritance conventions -> implementer guidance section	3	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/TechnischeImplementierung/Profile-Beziehungen-und-Referenzen.page.md	input/pagecontent/implementer-guidance.md	profile relationship/reference overview -> implementer guidance section	3	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/TechnischeImplementierung/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
MIIIGModulMTB/TechnischeImplementierung/Terminologien.page.md	input/pagecontent/code-systems.md	terminology overview -> Code Systems page	3	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/TechnischeImplementierung/DNPM-Transformation.page.md	input/pagecontent/dnpm-transformation.md	cross-cutting DNPM->MII transformation narrative (recent module feature incl. input/maps FML) -> own page under Guidance	4	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/TechnischeImplementierung/QA-Validierung.page.md	input/pagecontent/implementer-guidance.md	QA/validation documentation -> implementer guidance section	3	reviewed override (subject front-matter / semantic review)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Index.page.md	RETIRED	nav-only page: no prose beyond the generated navigation/title (renderings regenerate on the artifact pages)	5	mechanical sweep, agent-reviewed
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Index.page.md	RETIRED	nav-only container page; source text: "Diese Seite wurde absichtlich leer gelassen"	5	mechanical sweep, agent-reviewed
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Behandlungsepisode-ClinicalImpression.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-behandlungsepisode-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-behandlungsepisode (4 candidate artefacts)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Systemische-Vortherapie-Procedure.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-systemische-vortherapie-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-systemische-vortherapie (1 candidate artefact)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Consent-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-consent-given-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-consent-given (1 candidate artefact)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Diagnose/Index.page.md	RETIRED	nav-only container page; source text: "Diese Seite wurde absichtlich leer gelassen"	5	mechanical sweep, agent-reviewed
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Diagnose/Diagnose-Primaertumor-Condition.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-diagnose-primaertumor-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-diagnose-primaertumor (1 candidate artefact)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Diagnose/Tumorausbreitung-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-tumorausbreitung-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-tumorausbreitung (2 candidate artefacts)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Diagnose/WHO-Grad-ZNS-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-who-grad-tumor-zns-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-who-grad-tumor-zns (2 candidate artefacts)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Diagnose/Oncotree-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-oncotree-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-oncotree (2 candidate artefacts)
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Probe/Index.page.md	RETIRED	nav-only page: no prose beyond the generated navigation/title (renderings regenerate on the artifact pages)	5	mechanical sweep, agent-reviewed
MIIIGModulMTB/TechnischeImplementierung/FHIRProfile/Behandlungsepisode/Probe/Tumorzellgehalt-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-mtb-tumorzellgehalt-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-mtb-tumorzellgehalt (3 candidate artefacts)
