id	layer	check	verdict	subject	evidence	autofix	action
C1-00d5b4	conservation	C1	IDENTISCH	303 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-84863a	conservation	C2	IDENTISCH	output/de (303 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-cc3d02	conservation	C2	IDENTISCH	output/en (303 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e311d	conservation	C3	IDENTISCH	index.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-2e4ab3	conservation	C3	IDENTISCH	BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	migrated -> input/pagecontent/anwendungsszenarien.md (input/pagecontent/anwendungsszenarien.md)	-	-
C3-26ba62	conservation	C3	IDENTISCH	Datenstzeinkl.Beschreibungen.page.md	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-d2d566	conservation	C3	IDENTISCH	AnwendungsflleInformationsmodell/Index.page.md	retired: nav-only container page; source text says "Diese Seite wurde absichtlich leer gelassen"; children routed individually	-	-
C3-fcd593	conservation	C3	IDENTISCH	UML.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-4fe1c8	conservation	C3	IDENTISCH	BeschreibungModulModul.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-703f7a	conservation	C3	IDENTISCH	MIIIGModulMTB/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-995049	conservation	C3	IDENTISCH	Kommentierungsphase.page.md	retired: page self-declares as commenting-phase-only ("wird in der abschließenden Version ... nicht mehr präsent sein"); ballot 2025.0.0-ballot closed, 2026.0.1 released — Gate B confirms	-	-
C3-c7063c	conservation	C3	IDENTISCH	KontextimGesamtprojektBezgezuanderenModulen.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-b75bba	conservation	C3	IDENTISCH	Referenzen.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-4fb47d	conservation	C3	IDENTISCH	ReleaseNotes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-32eff4	conservation	C3	IDENTISCH	CapabilityStatement.page.md	migrated -> input/pagecontent/capability-statements.md (input/pagecontent/capability-statements.md)	-	-
C3-b611f5	conservation	C3	IDENTISCH	DNPM-Transformation.page.md	migrated -> input/pagecontent/dnpm-transformation.md (input/pagecontent/dnpm-transformation.md)	-	-
C3-99c6f6	conservation	C3	IDENTISCH	Behandlungsepisode-ClinicalImpression.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-mtb-behandlungsepisode-intro.md (input/intro-notes/StructureDefinition-mii-pr-mtb-behandlungsepisode-intro.md)	-	-
C3-0d6ba8	conservation	C3	IDENTISCH	Consent-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-mtb-consent-given-intro.md (input/intro-notes/StructureDefinition-mii-pr-mtb-consent-given-intro.md)	-	-
C3-150605	conservation	C3	IDENTISCH	Diagnose-Primaertumor-Condition.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-mtb-diagnose-primaertumor-intro.md (input/intro-notes/StructureDefinition-mii-pr-mtb-diagnose-primaertumor-intro.md)	-	-
C3-9c8723	conservation	C3	IDENTISCH	Diagnose/Index.page.md	retired: nav-only container page; source text: "Diese Seite wurde absichtlich leer gelassen"	-	-
C3-f3088e	conservation	C3	IDENTISCH	Oncotree-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-mtb-oncotree-intro.md (input/intro-notes/StructureDefinition-mii-pr-mtb-oncotree-intro.md)	-	-
C3-212a98	conservation	C3	IDENTISCH	Tumorausbreitung-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-mtb-tumorausbreitung-intro.md (input/intro-notes/StructureDefinition-mii-pr-mtb-tumorausbreitung-intro.md)	-	-
